ingredient,calcium,potassium,fat,vitamin_c,vitamin_b1,vitamin_b2,iron,sodium,vitamin_a,protein,calories,carbs,fiber
ผักบุ้ง,68.0,582.0,0.62,26.5,0.077,0.194,1.26,111.0,283.0,2.85,27.0,2.41,1.6
ผักบุ้งจีน,68.0,582.0,0.62,26.5,0.077,0.194,1.26,111.0,283.0,2.85,27.0,2.41,1.6
ยอดผักบุ้งใหม่,68.0,582.0,0.62,26.5,0.077,0.194,1.26,111.0,283.0,2.85,27.0,2.41,1.6
ผักใบ,68.0,582.0,0.62,26.5,0.077,0.194,1.26,111.0,283.0,2.85,27.0,2.41,1.6
ใบยอ,115.0,384.0,0.42,70.0,0.08,0.11,1.64,20.0,151.0,2.86,27.0,4.67,3.2
หัวเปราะ,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ผักกาดหอม,36.0,194.0,0.15,9.2,0.07,0.08,0.86,28.0,370.0,1.36,15.0,2.87,1.3
ผักกาดหอมจีบ,36.0,194.0,0.15,9.2,0.07,0.08,0.86,28.0,370.0,1.36,15.0,2.87,1.3
ผักกาดหอมล้างสะอาดแช่น้ำด่างทับทิมพอควร,36.0,194.0,0.15,9.2,0.07,0.08,0.86,28.0,370.0,1.36,15.0,2.87,1.3
ใบผักกาดแก้ว,18.0,141.0,0.14,2.8,0.041,0.025,0.41,10.0,25.0,0.9,14.0,2.97,1.2
ผักกาดขาว,77.0,238.0,0.2,27.0,0.04,0.05,0.31,9.0,16.0,1.2,16.0,3.23,1.2
กะหล่ำปลี,40.0,170.0,0.1,36.6,0.061,0.04,0.47,18.0,5.0,1.28,25.0,5.8,2.5
กะหล่ำปลีขนาดเล็ก,40.0,170.0,0.1,36.6,0.061,0.04,0.47,18.0,5.0,1.28,25.0,5.8,2.5
กล่ำปลีซอย,40.0,170.0,0.1,36.6,0.061,0.04,0.47,18.0,5.0,1.28,25.0,5.8,2.5
กะหล่ำปลีต้มสับละเอียด,48.0,196.0,0.06,37.5,0.061,0.038,0.17,8.0,4.0,1.27,23.0,5.51,1.9
คะน้า,254.0,348.0,1.49,93.4,0.113,0.347,1.6,53.0,241.0,2.92,35.0,4.42,4.1
ต้นคะน้า,254.0,348.0,1.49,93.4,0.113,0.347,1.6,53.0,241.0,2.92,35.0,4.42,4.1
คะน้าต้นใหญ่,254.0,348.0,1.49,93.4,0.113,0.347,1.6,53.0,241.0,2.92,35.0,4.42,4.1
ผักคะน้า,254.0,348.0,1.49,93.4,0.113,0.347,1.6,53.0,241.0,2.92,35.0,4.42,4.1
คึ่นฉ่าย,46.0,265.0,0.16,3.1,0.021,0.057,0.0,97.0,22.0,0.49,17.0,3.32,1.6
