ingredient_id,recipe_id,component_group,ingredient_name,nutrition_name,quantity,unit,grams_approx
202,18,เครื่องน้ำพริก,ข่า,ข่า,10,กรัม,10.0
203,18,เครื่องน้ำพริก,ตะไคร้ต้นเล็ก,ตะไคร้ต้นเล็ก,2,ช้อนโต๊ะ,30.0
204,18,เครื่องน้ำพริก,รากผักชี,รากผักชี,2,ช้อนโต๊ะ,30.0
205,18,เครื่องน้ำพริก,พริกไทยเม็ด,พริกไทยเม็ด,3,เม็ด,0.15000000000000002
206,18,เครื่องน้ำพริก,เกลือ,เกลือ,1/2,ช้อนชา,2.5
207,18,เครื่องน้ำพริก,น้ำเคยดี,น้ำเคยดี,1+1/2,ช้อนโต๊ะ,22.5
208,19,ส่วนผสมหลัก,ไข่จืด,ไข่จืด,3,ฟอง,
209,19,ส่วนผสมหลัก,เนื้อหมูปนมัน,เนื้อหมูปนมัน,500,กรัม,500.0
210,19,ส่วนผสมหลัก,ถั่วพูอ่อนหั่นเฉียง,ถั่วพูอ่อนหั่นเฉียง,1,ถ้วยพูน,
211,19,ส่วนผสมหลัก,พริก,พริก,5,เม็ด,
212,19,ส่วนผสมหลัก,หอมเผา,หอมเผา,6,หัว,180.0
213,19,ส่วนผสมหลัก,กระเทียมเผา,กระเทียมเผา,5,กลีบ,10.0
214,19,ส่วนผสมหลัก,ข่าเผา,ข่าเผา,5,แว่น,25.0
215,19,ส่วนผสมหลัก,รากผักชี,รากผักชี,5,ราก,10.0
216,19,ส่วนผสมหลัก,ถั่วเขียวคั่ว,ถั่วเขียวคั่ว,1,ช้อนพูน,
217,19,ส่วนผสมหลัก,กระเทียมดิบ,กระเทียมดิบ,5,กลีบ,10.0
218,19,ส่วนผสมหลัก,มะขามเปียก,มะขามเปียก,1,ช้อนโต๊ะ,15.0
219,19,ส่วนผสมหลัก,น้ำเคยดี,น้ำเคยดี,2,ช้อนโต๊ะ,30.0
220,19,ส่วนผสมหลัก,น้ำตาล,น้ำตาล,1,ช้อนโต๊ะ,15.0
221,19,ส่วนผสมหลัก,มะพร้าวขูด,มะพร้าวขูด,1,ถ้วยพูน,
222,19,ส่วนผสมหลัก,มันฝรั่ง,มันฝรั่ง,200,กรัม,200.0
223,19,ส่วนผสมหลัก,น้ำมันหมู,น้ำมันหมู,3,ช้อนโต๊ะ,39.0
224,20,เครื่องน้ำพริก,พริกแห้งเม็ดใหญ่,พริกแห้งเม็ดใหญ่,5,เม็ด,
225,20,เครื่องน้ำพริก,หัวหอม,หัวหอม,10,หัว,300.0
226,20,เครื่องน้ำพริก,กระเทียม,กระเทียม,5,กลีบ,10.0
227,20,เครื่องน้ำพริก,ลูกจันทร์,ลูกจันทร์,1/2,ลูก,
228,20,เครื่องน้ำพริก,อบเชย ประมาณ,อบเชย ประมาณ,3,เซนติเมตร,
229,20,เครื่องน้ำพริก,กระวาน,กระวาน,3,ลูก,
230,20,เครื่องน้ำพริก,กานพลู,กานพลู,3,ดอก,
231,20,เครื่องน้ำพริก,โป๊ยกั๊ก,โป๊ยกั๊ก,1,ดอก,
232,20,เครื่องน้ำพริก,ลูกผักชี,ลูกผักชี,1,ช้อนโต๊ะ,15.0
233,20,เครื่องน้ำพริก,ยี่หร่า,ยี่หร่า,1/2,ช้อนชา,2.5
234,20,เครื่องน้ำพริก,พริกไทย,พริกไทย,9,เม็ด,0.45
235,20,เครื่องน้ำพริก,พริกไทย,พริกไทย,9,เม็ด,0.45
236,20,เครื่องน้ำพริก,ไก่อ่อนตัวย่อม,ไก่อ่อนตัวย่อม,500,กรัม,500.0
237,20,เครื่องน้ำพริก,ขมิ้นแห้ง,ขมิ้นแห้ง,1,ช้อนชา,5.0
238,20,เครื่องน้ำพริก,ถั่วลิสงดิบ,ถั่วลิสงดิบ,1,ช้อนโต๊ะ,15.0
239,20,เครื่องน้ำพริก,เกลือ,เกลือ,1,ช้อนชา,5.0
240,20,เครื่องน้ำพริก,น้ำปลา,น้ำปลา,2,ช้อนโต๊ะ,36.0
241,20,เครื่องน้ำพริก,น้ำตาล,น้ำตาล,2,ช้อนโต๊ะ,30.0
242,20,เครื่องน้ำพริก,มะพร้าว,มะพร้าว,500,กรัม,500.0
243,21,ส่วนผสมหลัก,ปลาหมึกสด,ปลาหมึกสด,300,กรัม,300.0
